"Yr","Level","Sim_Mean","Sim_Sd","Sim_LowerB","Sim_UpperB"
2,"Level_1",458.0642,10.9437667905668,436.614417090489,479.513982909511
2,"Level_2",231.6964,10.3785051772374,211.354529852615,252.038270147385
2,"Level_3",98.0082,8.11793772719331,82.0970420547011,113.919357945299
2,"Total",787.7688,8.11633670717947,771.860780053928,803.676819946072
3,"Level_1",430.8524,13.5216264227431,404.350012211424,457.354787788576
3,"Level_2",260.8324,12.6184054092034,236.100325397961,285.564474602039
3,"Level_3",135.1994,10.0933252539952,115.416482502169,154.982317497831
3,"Total",826.8842,8.97708794551977,809.289107626781,844.479292373219
4,"Level_1",415.1614,14.7569544141302,386.237769348305,444.085030651695
4,"Level_2",287.7774,13.7949233133731,260.739350305789,314.815449694211
4,"Level_3",164.85,11.2551870640683,142.789833354426,186.910166645574
4,"Total",867.7888,9.60186615855196,848.969142329238,886.608457670762
5,"Level_1",408.3482,15.6425667567362,377.688769156797,439.007630843203
5,"Level_2",313.368,14.7065234629559,284.543214012606,342.192785987394
5,"Level_3",189.4358,12.0949549791303,165.729688240905,213.141911759095
5,"Total",911.152,10.4416043508785,890.686455472278,931.617544527722
6,"Level_1",408.815,16.4003222259144,376.670368437208,440.959631562792
6,"Level_2",337.5506,15.1075970140028,307.939709852554,367.161490147446
6,"Level_3",210.644,12.6810656446995,185.789111336389,235.498888663611
6,"Total",957.0096,10.9661825295704,935.515882242042,978.503317757958
7,"Level_1",399.548,16.084322711492,368.022727485476,431.073272514524
7,"Level_2",353.8312,15.2505744994906,323.940073980998,383.722326019002
7,"Level_3",227.7682,13.24785151917,201.802411022427,253.733988977573
7,"Total",981.1474,9.21165805752872,963.092550207244,999.202249792756
8,"Level_1",395.6538,16.2720281876682,363.76062475217,427.54697524783
8,"Level_2",368.7108,15.5578395876332,338.217434408239,399.204165591761
8,"Level_3",241.8126,13.4994936388629,215.353592467829,268.271607532171
8,"Total",1006.1772,9.87401131151246,986.824137829436,1025.53026217056
9,"Level_1",394.7168,16.5484551555004,362.281827895219,427.151772104781
9,"Level_2",381.8836,15.7219937430802,351.068492263563,412.698707736437
9,"Level_3",254.3814,13.8150680512639,227.303866619523,281.458933380477
9,"Total",1030.9818,10.0492221655821,1011.28532455546,1050.67827544454
10,"Level_1",396.7418,16.8599758160237,363.696247400594,429.787352599406
10,"Level_2",394.738,15.8752310405902,363.622547160443,425.853452839557
10,"Level_3",265.5034,14.3092745975434,237.457221788815,293.549578211185
10,"Total",1056.9832,10.3218518631676,1036.75237034819,1077.21402965181
11,"Level_1",400.2394,17.3347912198944,366.263209209007,434.215590790993
11,"Level_2",407.2778,15.9336186473958,376.047907451104,438.507692548896
11,"Level_3",275.415,14.5095030974885,246.976373928923,303.853626071077
11,"Total",1082.9322,10.6397483057073,1062.07829332081,1103.78610667919
